midx,long_ret,short_ret,gross_ret,long_cost,short_cost,net_ret
23683,-0.023881360425235226,-0.02867610553485095,0.004794745109615722,6.507599294352755e-4,6.275007638976407e-4,0.001016484416282807
23684,0.027366716910241007,0.06440673749657111,-0.0370400205863301,6.507599294352755e-4,6.275007638976407e-4,-0.04081828127966303
23685,0.05461586775398908,-0.03319839361459609,0.08781426136858517,6.507599294352755e-4,6.275007638976407e-4,0.08403600067525224
23686,-0.06823922290548196,-0.09665907886856528,0.02841985596308333,6.507599294352755e-4,6.275007638976407e-4,0.02464159526975041
23687,0,-0.036736865274624095,0.036736865274624095,6.507599294352755e-4,6.275007638976407e-4,0.03295860458129118
23688,-0.010779811687168406,0.010757812689846658,-0.021537624377015063,6.507599294352755e-4,6.275007638976407e-4,-0.025315885070347977
23689,1.548819249161948e-4,-0.05538510261157559,0.05553998453649178,6.507599294352755e-4,6.275007638976407e-4,0.051761723843158865
23690,-0.02897953511238386,-0.06422083670261358,0.03524130159022972,6.507599294352755e-4,6.275007638976407e-4,0.031463040896896804
23691,-0.004837135172408191,-0.10033969490448909,0.0955025597320809,6.507599294352755e-4,6.275007638976407e-4,0.09172429903874797
23692,-0.07306516976065006,4.1159321532266424e-4,-0.07347676297597272,6.507599294352755e-4,6.275007638976407e-4,-0.07725502366930564
23693,-0.04055554521036453,-0.03675213918740841,-0.0038034060229561184,6.507599294352755e-4,6.275007638976407e-4,-0.007581666716289034
23694,-0.07680934831578776,-0.01670589224251562,-0.06010345607327214,6.507599294352755e-4,6.275007638976407e-4,-0.06388171676660506
23695,-0.06634495790693964,-0.11719644205720765,0.05085148415026801,6.507599294352755e-4,6.275007638976407e-4,0.047073223456935084
23696,-0.08029294975272791,-0.08076952360295733,4.7657385022942256e-4,6.507599294352755e-4,6.275007638976407e-4,-0.0033016868431034996
23697,0.10844467604416642,0.27702376184825217,-0.16857908580408576,6.507599294352755e-4,6.275007638976407e-4,-0.17235734649741863
23698,-0.06505504091102413,-0.048998014991069566,-0.01605702591995456,6.507599294352755e-4,6.275007638976407e-4,-0.01983528661328748
23699,-0.013067590438522219,-0.08728662818057298,0.07421903774205076,6.507599294352755e-4,6.275007638976407e-4,0.07044077704871785
23700,0.12345160160511608,0.3340780281136429,-0.2106264265085268,6.507599294352755e-4,6.275007638976407e-4,-0.21440468720185973
23701,0.02870191352556771,0.007860582199003374,0.020841331326564336,6.507599294352755e-4,6.275007638976407e-4,0.017063070633231422
23702,0.02070014632868335,-0.010225799823499545,0.030925946152182894,6.507599294352755e-4,6.275007638976407e-4,0.02714768545884998
23703,0.021806717972674132,0.036167888273796446,-0.014361170301122314,6.507599294352755e-4,6.275007638976407e-4,-0.01813943099445523
23704,0.05234841450263263,0.09329043931454409,-0.040942024811911455,6.507599294352755e-4,6.275007638976407e-4,-0.04472028550524437
23705,0.10487158650087884,0.07710009524534707,0.02777149125553177,6.507599294352755e-4,6.275007638976407e-4,0.02399323056219885
23706,-0.03928905462502662,-0.07667565887347112,0.037386604248444505,6.507599294352755e-4,6.275007638976407e-4,0.03360834355511159
23707,-0.027560026751049273,-0.04783346962940309,0.020273442878353816,6.507599294352755e-4,6.275007638976407e-4,0.0164951821850209
23708,-0.03676697743381728,-0.01782411690353077,-0.01894286053028651,6.507599294352755e-4,6.275007638976407e-4,-0.022721121223619422
23709,0.09661471789647931,0.06832132731436205,0.02829339058211726,6.507599294352755e-4,6.275007638976407e-4,0.024515129888784338
23710,0.032322014613367145,0.03717081785115253,-0.004848803237785387,6.507599294352755e-4,6.275007638976407e-4,-0.008627063931118303
23711,-0.012785676723377989,-0.010453472186999647,-0.002332204536378342,6.507599294352755e-4,6.275007638976407e-4,-0.006110465229711259
23712,0.12130184658205115,0.09573137278811017,0.02557047379394098,6.507599294352755e-4,6.275007638976407e-4,0.021792213100608058
23713,-0.035673857742529215,-0.041530884608788135,0.00585702686625892,6.507599294352755e-4,6.275007638976407e-4,0.002078766172926005
23714,0.004729955214518878,0.008559313843266537,-0.0038293586287476596,6.507599294352755e-4,6.275007638976407e-4,-0.007607619322080575
23715,-2.0395000514363253e-4,-0.0053396499117097295,0.005135699906566097,6.507599294352755e-4,6.275007638976407e-4,0.0013574392132331805
23716,-0.008110811775699674,-0.03923948892898982,0.031128677153290145,6.507599294352755e-4,6.275007638976407e-4,0.027350416459957227
23717,0.02205629193107117,0.05346900981071387,-0.0314127178796427,6.507599294352755e-4,6.275007638976407e-4,-0.03519097857297562
23718,0.02851062129295308,0.011212581100677887,0.01729804019227519,6.507599294352755e-4,6.275007638976407e-4,0.013519779498942274
23719,-0.01244707811851751,0.019767657762733655,-0.032214735881251164,6.507599294352755e-4,6.275007638976407e-4,-0.03599299657458408
23720,0.027061544022838203,0.030603644363581494,-0.0035421003407432906,6.507599294352755e-4,6.275007638976407e-4,-0.007320361034076206
23721,-0.032382180960022766,-0.02318965311870875,-0.009192527841314017,6.507599294352755e-4,6.275007638976407e-4,-0.01297078853464693
23722,0.030102303063972567,0.018408140077339187,0.01169416298663338,6.507599294352755e-4,6.275007638976407e-4,0.007915902293300464
23723,0.07529157619033362,0.01564037006674504,0.05965120612358858,6.507599294352755e-4,6.275007638976407e-4,0.05587294543025566
23724,-0.03548379330871671,-0.03315042101166902,-0.0023333722970476922,6.507599294352755e-4,6.275007638976407e-4,-0.006111632990380608
23725,-0.02430100624209467,-0.016252122543095215,-0.008048883698999455,6.507599294352755e-4,6.275007638976407e-4,-0.011827144392332373
23726,0.016216080314757284,0.007594698099414224,0.00862138221534306,6.507599294352755e-4,6.275007638976407e-4,0.004843121522010142
23727,0.008037575161782905,-0.01328341213377664,0.021320987295559545,6.507599294352755e-4,6.275007638976407e-4,0.01754272660222663
23728,0.008767619724953412,0.014364541969579064,-0.005596922244625652,6.507599294352755e-4,6.275007638976407e-4,-0.00937518293795857
23729,0.03984380186674671,0.05029791886991789,-0.010454117003171184,6.507599294352755e-4,6.275007638976407e-4,-0.0142323776965041
23730,0.0017457330223106836,-0.049733235675821864,0.051478968698132545,6.507599294352755e-4,6.275007638976407e-4,0.04770070800479963
23731,-0.021619059783589873,-0.031353535571573866,0.009734475787983993,6.507599294352755e-4,6.275007638976407e-4,0.005956215094651078
23732,-0.005837499818645928,-0.028035248687825587,0.02219774886917966,6.507599294352755e-4,6.275007638976407e-4,0.018419488175846745
23733,-0.023807723304482317,-0.04176494098653989,0.017957217682057575,6.507599294352755e-4,6.275007638976407e-4,0.014178956988724655
23734,0.026479100652200525,0.029941089943805795,-0.00346198929160527,6.507599294352755e-4,6.275007638976407e-4,-0.0072402499849381855
23735,0.003260797919211491,-0.004633880485652642,0.007894678404864134,6.507599294352755e-4,6.275007638976407e-4,0.004116417711531217
23736,-0.03885776784110091,-0.054410254973477054,0.015552487132376142,6.507599294352755e-4,6.275007638976407e-4,0.011774226439043226
23737,-0.014167248023496514,-0.009966674754437615,-0.004200573269058899,6.507599294352755e-4,6.275007638976407e-4,-0.007978833962391817
23738,0.020532863283122663,0.024208322559997116,-0.003675459276874453,6.507599294352755e-4,6.275007638976407e-4,-0.007453719970207369
23739,0.035630684330606774,0.12018018331374121,-0.08454949898313444,6.507599294352755e-4,6.275007638976407e-4,-0.08832775967646736
