midx,long_ret,short_ret,gross_ret,long_cost,short_cost,net_ret
23683,-0.031858796161280546,-0.024920739246188782,-0.006938056915091764,1.959499513372909e-4,1.9288356619362318e-4,-0.009826890432622677
23684,0.04585734695802211,0.089524139535914,-0.04366679257789188,1.959499513372909e-4,1.9288356619362318e-4,-0.0465556260954228
23685,0.04837867179119036,-0.023532508396589026,0.0719111801877794,1.959499513372909e-4,1.9288356619362318e-4,0.06902234667024848
23686,-0.1072663661920392,-0.1521444436141323,0.044878077422093085,1.959499513372909e-4,1.9288356619362318e-4,0.04198924390456217
23687,0.03724600371371586,-0.04466473933924335,0.0819107430529592,1.959499513372909e-4,1.9288356619362318e-4,0.07902190953542829
23688,-0.041441092014948486,0.08433391267535588,-0.12577500469030437,1.959499513372909e-4,1.9288356619362318e-4,-0.12866383820783528
23689,0.006631093815681211,-2.39956203764304e-4,0.006871050019445516,1.959499513372909e-4,1.9288356619362318e-4,0.0039822165019146
23690,-0.04039889273470646,0.004994467614587057,-0.04539336034929352,1.959499513372909e-4,1.9288356619362318e-4,-0.04828219386682443
23691,-0.020592233212263687,-0.062149902631987955,0.04155766941972427,1.959499513372909e-4,1.9288356619362318e-4,0.038668835902193346
23692,-0.043207509121762924,-0.0049991062944075996,-0.038208402827355326,1.959499513372909e-4,1.9288356619362318e-4,-0.04109723634488624
23693,-0.023078573749192588,-0.018127960076090265,-0.004950613673102323,1.959499513372909e-4,1.9288356619362318e-4,-0.00783944719063324
23694,-0.08380875200400396,-0.01228100930028694,-0.07152774270371702,1.959499513372909e-4,1.9288356619362318e-4,-0.07441657622124793
23695,-0.07094168437228593,-0.08956096615007672,0.01861928177779079,1.959499513372909e-4,1.9288356619362318e-4,0.01573044826025988
23696,-0.11153645033424518,-0.1093138281952005,-0.002222622139044686,1.959499513372909e-4,1.9288356619362318e-4,-0.005111455656575599
23697,0.11219500553877475,0.2089697220076086,-0.09677471646883386,1.959499513372909e-4,1.9288356619362318e-4,-0.09966354998636477
23698,-0.04460421301625797,-0.05457453237693435,0.009970319360676376,1.959499513372909e-4,1.9288356619362318e-4,0.007081485843145463
23699,-0.006541292883826502,-0.025634990380547312,0.01909369749672081,1.959499513372909e-4,1.9288356619362318e-4,0.016204863979189896
23700,0.11320757443482518,0.2775562067886325,-0.16434863235380734,1.959499513372909e-4,1.9288356619362318e-4,-0.16723746587133825
23701,0.05966281342544142,0.059288839433412156,3.7397399202926396e-4,1.959499513372909e-4,1.9288356619362318e-4,-0.002514859525501648
23702,0.03345293272863901,0.09289642753049446,-0.05944349480185545,1.959499513372909e-4,1.9288356619362318e-4,-0.062332328319386364
23703,0.049269418965705705,0.04455317030892534,0.0047162486567803655,1.959499513372909e-4,1.9288356619362318e-4,0.0018274151392494533
23704,0.09212277968793936,0.061080642091723245,0.031042137596216116,1.959499513372909e-4,1.9288356619362318e-4,0.028153304078685205
23705,0.06946173610833657,0.04825481111555078,0.021206924992785793,1.959499513372909e-4,1.9288356619362318e-4,0.018318091475254882
23706,-0.048321488840182975,-0.07459361507263484,0.02627212623245187,1.959499513372909e-4,1.9288356619362318e-4,0.02338329271492096
23707,-0.02030167165416815,-0.04810171043140788,0.02780003877723973,1.959499513372909e-4,1.9288356619362318e-4,0.024911205259708816
23708,-0.028213719627790557,-0.047016369338739344,0.018802649710948787,1.959499513372909e-4,1.9288356619362318e-4,0.015913816193417873
23709,0.07791554735733298,0.056403020875964036,0.02151252648136895,1.959499513372909e-4,1.9288356619362318e-4,0.018623692963838038
23710,0.01872733878341521,0.037191740421319716,-0.018464401637904505,1.959499513372909e-4,1.9288356619362318e-4,-0.02135323515543542
23711,-0.019636819486260535,-0.018711409801194304,-9.254096850662315e-4,1.959499513372909e-4,1.9288356619362318e-4,-0.003814243202597147
23712,0.15449337443392322,0.10113027397880056,0.05336310045512266,1.959499513372909e-4,1.9288356619362318e-4,0.050474266937591744
23713,-0.012488538544718394,0.007626655140177707,-0.0201151936848961,1.959499513372909e-4,1.9288356619362318e-4,-0.023004027202427012
23714,0.03418071650638553,0.006400260813690033,0.027780455692695497,1.959499513372909e-4,1.9288356619362318e-4,0.02489162217516459
23715,-0.004135477477614636,-0.013712963525374405,0.00957748604775977,1.959499513372909e-4,1.9288356619362318e-4,0.006688652530228855
23716,-0.018689318440278824,-0.018006884465459595,-6.824339748192285e-4,1.959499513372909e-4,1.9288356619362318e-4,-0.003571267492350144
23717,0.05580002930981254,0.03794185953084143,0.01785816977897111,1.959499513372909e-4,1.9288356619362318e-4,0.014969336261440197
23718,-0.006650149974712305,0.009469469210808955,-0.01611961918552126,1.959499513372909e-4,1.9288356619362318e-4,-0.01900845270305217
23719,0.008564589657913438,-0.002757496421396069,0.011322086079309507,1.959499513372909e-4,1.9288356619362318e-4,0.008433252561778593
23720,0.028769264968348845,0.018383928955687315,0.01038533601266153,1.959499513372909e-4,1.9288356619362318e-4,0.007496502495130614
23721,-0.033116859702028115,-0.033973495286595136,8.566355845670212e-4,1.959499513372909e-4,1.9288356619362318e-4,-0.002032197932963891
23722,0.02359398634135465,-0.023158911992645238,0.046752898333999884,1.959499513372909e-4,1.9288356619362318e-4,0.04386406481646897
23723,0.06482209670819702,0.04892119891665823,0.015900897791538797,1.959499513372909e-4,1.9288356619362318e-4,0.013012064274007884
23724,-0.033202099535552934,-0.0740086248974267,0.04080652536187376,1.959499513372909e-4,1.9288356619362318e-4,0.03791769184434285
23725,-0.01333479747721513,-0.01766489018816946,0.0043300927109543325,1.959499513372909e-4,1.9288356619362318e-4,0.001441259193423417
23726,0.00938772050387056,-0.0078465200984364,0.01723424060230696,1.959499513372909e-4,1.9288356619362318e-4,0.014345407084776047
23727,0.022766950849026652,-0.01591389439439998,0.03868084524342663,1.959499513372909e-4,1.9288356619362318e-4,0.03579201172589572
23728,0.02313144619044103,0.0012052717831044263,0.021926174407336605,1.959499513372909e-4,1.9288356619362318e-4,0.01903734088980569
