asset,date,n_bars,log_ret,R_last,R_tercile_lag1_last,frac_bars_top_tercile_R,trailing_realised_vol_last,vol_tercile_lag1_last,exposure_benchmark_mean,ret_net_benchmark,exposure_overlay_w0.00_mean,ret_net_overlay_w0.00,exposure_volsizing_w0.00_mean,ret_net_volsizing_w0.00
BTC,2013-12-17,7,0.0015681805195320725,3.947737231953638e-4,1,0,0.027351259532432372,1,1,-0.0010318194804679222,1,-0.0010318194804679222,1,-0.0010318194804679222
BTC,2013-12-18,23,-0.28483712031954983,4.0142181706735844e-4,1,0,0.029303815675499008,1,1,-0.28483712031954983,1,-0.28483712031954983,1,-0.28483712031954983
BTC,2013-12-19,24,0.28171614402461215,4.1701865280494135e-4,1,0,0.02983925492728683,1,1,0.28171614402461215,1,0.28171614402461215,1,0.28171614402461215
BTC,2013-12-20,24,-0.05035452944356138,4.307683081971536e-4,1,0,0.030146913694561895,1,1,-0.05035452944356138,1,-0.05035452944356138,1,-0.05035452944356138
BTC,2013-12-21,20,-0.06839762977902103,4.3753496178023125e-4,1,0,0.03000462254302946,1,1,-0.06839762977902103,1,-0.06839762977902103,1,-0.06839762977902103
BTC,2013-12-22,22,0.031025505079296096,3.958591970091652e-4,1,0,0.02852113296872045,1,1,0.031025505079296096,1,0.031025505079296096,1,0.031025505079296096
BTC,2013-12-23,19,0.021895386941573787,3.5436261593505393e-4,1,0,0.026919260761013194,1,1,0.021895386941573787,1,0.021895386941573787,1,0.021895386941573787
BTC,2013-12-24,18,0.006945110183645818,3.5722149292269215e-4,1,0,0.026640074482502902,1,1,0.006945110183645818,1,0.006945110183645818,1,0.006945110183645818
BTC,2013-12-25,15,0.02426680533015754,3.6188879702422444e-4,1,0,0.026481243814698546,1,1,0.02426680533015754,1,0.02426680533015754,1,0.02426680533015754
BTC,2013-12-26,22,0.10698990346057977,3.4451144475474603e-4,1,0,0.026273310031500758,1,1,0.10698990346057977,1,0.10698990346057977,1,0.10698990346057977
BTC,2013-12-27,20,-0.02758737334700962,3.384896897767534e-4,1,0,0.025968053454616016,1,1,-0.02758737334700962,1,-0.02758737334700962,1,-0.02758737334700962
BTC,2013-12-28,15,-0.017734248435487605,3.349341678710035e-4,1,0,0.02580894722525304,1,1,-0.017734248435487605,1,-0.017734248435487605,1,-0.017734248435487605
BTC,2013-12-29,15,0.01934587024009491,3.2340069253711994e-4,1,0,0.02533445880945826,1,1,0.01934587024009491,1,0.01934587024009491,1,0.01934587024009491
BTC,2013-12-30,17,0.021531755556077628,3.2039875135782335e-4,1,0,0.025206316206152376,1,1,0.021531755556077628,1,0.021531755556077628,1,0.021531755556077628
BTC,2013-12-31,11,-0.0124521876616015,3.193166994836979e-4,1,0,0.025190140697133222,1,1,-0.0124521876616015,1,-0.0124521876616015,1,-0.0124521876616015
BTC,2014-01-01,16,0.019092309464920028,3.2210717752587104e-4,1,0,0.02502426445945749,1,1,0.019092309464920028,1,0.019092309464920028,1,0.019092309464920028
BTC,2014-01-02,21,0.04450496333743176,3.2205278362389215e-4,1,0,0.024875388156259046,1,1,0.04450496333743176,1,0.04450496333743176,1,0.04450496333743176
BTC,2014-01-03,23,0.02531860145937751,3.0433958986448114e-4,1,0,0.024604340407790578,1,1,0.02531860145937751,1,0.02531860145937751,1,0.02531860145937751
BTC,2014-01-04,19,0.023385079786594033,2.992253744838388e-4,1,0,0.024413322788593643,1,1,0.023385079786594033,1,0.023385079786594033,1,0.023385079786594033
BTC,2014-01-05,19,0.08907091253991092,2.8642863504227227e-4,1,0,0.024180207518078804,1,1,0.08907091253991092,1,0.08907091253991092,1,0.08907091253991092
BTC,2014-01-06,24,0.015749062964021607,2.7973724825951956e-4,1,0,0.02408600811626846,1,1,0.015749062964021607,1,0.015749062964021607,1,0.015749062964021607
BTC,2014-01-07,23,-0.12637347774138927,2.729135237067473e-4,1,0,0.023938557494294632,1,1,-0.12637347774138927,1,-0.12637347774138927,1,-0.12637347774138927
BTC,2014-01-08,20,0.01832837481626568,2.768661560809792e-4,1,0,0.023940374066286105,1,1,0.01832837481626568,1,0.01832837481626568,1,0.01832837481626568
BTC,2014-01-09,15,0.020262201570933756,0.00027359077111884043,1,0,0.023780968875659697,1,1,0.020262201570933756,1,0.020262201570933756,1,0.020262201570933756
BTC,2014-01-10,15,0.01819873779378129,2.7003216875954927e-4,1,0,0.02318047887832748,1,1,0.01819873779378129,1,0.01819873779378129,1,0.01819873779378129
BTC,2014-01-11,16,0.048394574768155695,2.6151079010432236e-4,1,0,0.022845410894349306,1,1,0.048394574768155695,1,0.048394574768155695,1,0.048394574768155695
BTC,2014-01-12,18,-0.04528574736806764,2.5067434202722126e-4,1,0,0.021688133736049175,1,1,-0.04528574736806764,1,-0.04528574736806764,1,-0.04528574736806764
BTC,2014-01-13,16,-0.029500664396697775,2.2807924738014744e-4,1,0,0.020426720227443334,1,1,-0.029500664396697775,1,-0.029500664396697775,1,-0.029500664396697775
BTC,2014-01-14,15,-0.004801929995407498,2.229784201747429e-4,1,0,0.02015541233706872,1,1,-0.004801929995407498,1,-0.004801929995407498,1,-0.004801929995407498
BTC,2014-01-15,9,0.022610836972685885,2.225618383649426e-4,1,0,0.020097562627645567,1,1,0.022610836972685885,1,0.022610836972685885,1,0.022610836972685885
BTC,2014-01-16,12,-0.027471282048183773,2.2111266183183495e-4,1,0,0.01993902043276163,1,1,-0.027471282048183773,1,-0.027471282048183773,1,-0.027471282048183773
BTC,2014-01-17,17,-0.028170080600984103,2.2212117472982586e-4,1,0,0.019910149867624346,1,1,-0.028170080600984103,1,-0.028170080600984103,1,-0.028170080600984103
BTC,2014-01-18,15,0.019107331493005413,2.2564092815327395e-4,1,0,0.020058614883834938,1,1,0.019107331493005413,1,0.019107331493005413,1,0.019107331493005413
BTC,2014-01-19,12,0.01872512417888339,2.2627134204821533e-4,1,0,0.02003370334231871,1,1,0.01872512417888339,1,0.01872512417888339,1,0.01872512417888339
BTC,2014-01-20,13,0.010443349751145654,2.2834908737707767e-4,1,0,0.01987959602848114,1,1,0.010443349751145654,1,0.010443349751145654,1,0.010443349751145654
BTC,2014-01-21,13,-0.01764285681328434,2.2978639012337048e-4,1,0,0.019930496152807568,1,1,-0.01764285681328434,1,-0.01764285681328434,1,-0.01764285681328434
BTC,2014-01-22,7,0.002265185631891861,2.2904595381076302e-4,1,0,0.01987306133804178,1,1,0.002265185631891861,1,0.002265185631891861,1,0.002265185631891861
BTC,2014-01-23,10,-1.2276000893084518e-6,2.2933318687163359e-4,1,0,0.019821494284885468,1,1,-1.2276000893084518e-6,1,-1.2276000893084518e-6,1,-1.2276000893084518e-6
BTC,2014-01-24,18,-0.034117365028348154,2.2900073087598163e-4,1,0,0.019895991252376788,1,1,-0.034117365028348154,1,-0.034117365028348154,1,-0.034117365028348154
