asset,w_low,status,overlay_sharpe_naive,overlay_sharpe_hac,benchmark_sharpe_naive,benchmark_sharpe_hac,fixed_threshold_used,n_obs
BTC,0,inconclusive-underpowered,0.4952652717400173,0.5631535908566263,0.5004266545117595,0.6060837117144419,0.75,95411
BTC,0.25,inconclusive-underpowered,0.5098436760561339,0.5831028600963744,0.5004266545117595,0.6060837117144419,0.75,95411
BTC,0.5,inconclusive-underpowered,0.5145913778057826,0.5967609041938902,0.5004266545117595,0.6060837117144419,0.75,95411
BTC,0.75,inconclusive-underpowered,0.5107436995390047,0.6042250338166929,0.5004266545117595,0.6060837117144419,0.75,95411
SOL,0,inconclusive-underpowered,0.3478062267884103,0.35501810420663865,0.3181592744349795,0.32833798649461365,1.17,38773
SOL,0.25,inconclusive-underpowered,0.3437541493680585,0.3514994100568541,0.3181592744349795,0.32833798649461365,1.17,38773
SOL,0.5,inconclusive-underpowered,0.3372478251550848,0.3457149422162867,0.3181592744349795,0.32833798649461365,1.17,38773
SOL,0.75,inconclusive-underpowered,0.32858279827715864,0.33788793421160346,0.3181592744349795,0.32833798649461365,1.17,38773
