asset,variant,w_low,cost_type,n_obs,ann_ret_cagr,ann_ret_arith,ann_vol,sharpe_naive,sharpe_hac,max_dd,skew,turnover_annual,detection_power,detection_underpowered_hd,detection_min_n_years,detection_verdict,fixed_threshold_used,fixed_threshold_underpowered
BTC,benchmark,NA,gross,95411,0.5576614330738894,0.4431856151518828,0.8851474554040002,0.5006912830694445,0.6064476850431766,-0.8392265843709854,-0.5015468182240805,0.09181331293054243,0.5030135755365017,TRUE,24.662107571905494,UNDERPOWERED,0.75,TRUE
BTC,benchmark,NA,net,95411,0.5572896409046213,0.4429469005382645,0.8851385044036573,0.5004266545117595,0.6060837117144419,-0.8392265843709854,-0.5016599127174994,0.09181331293054243,0.5026651742095346,TRUE,24.68819727697244,UNDERPOWERED,0.75,TRUE
BTC,overlay_w0.00,0,gross,95411,0.5010981271245696,0.40619692501454674,0.7724118847841708,0.5258812468014359,0.598134880121592,-0.8392265843709856,-0.2648739913489977,9.08951798010732,0.5361291768804956,TRUE,22.356051316853392,UNDERPOWERED,0.75,TRUE
BTC,overlay_w0.00,0,net,95411,0.4660389591771221,0.3825641782662607,0.7724429716668738,0.4952652717400173,0.5631535908566263,-0.8392265843709857,-0.2643021786245557,9.08951798010732,0.49586978624298755,TRUE,25.205449754054435,UNDERPOWERED,0.75,TRUE
BTC,complement_w0.00,0,gross,95411,0.6163561170604552,0.48017430528921795,1.1593492021937115,0.4141757327133498,0.5501480820955597,-0.9148538221018365,-1.2283897726412185,9.08951798010732,0.3905185528982121,TRUE,36.04128661391637,UNDERPOWERED,0.75,TRUE
BTC,complement_w0.00,0,net,95411,0.5786050203487023,0.45654155854094763,1.1594850454086942,0.393745102921984,0.5229752613123645,-0.9155153788639805,-1.2402005737406754,9.08951798010732,0.3648991566511708,TRUE,39.878527636644876,UNDERPOWERED,0.75,TRUE
BTC,volsizing_w0.00,0,gross,95411,0.4496759126588836,0.37134002293962914,0.7021159040885057,0.5288870694671227,0.5949258344941835,-0.7817273847890285,-0.7479516837426365,3.947972456005946,0.5400685623873802,TRUE,22.102662578200558,UNDERPOWERED,0.75,TRUE
BTC,volsizing_w0.00,0,net,95411,0.4348714948205732,0.36107529455395915,0.7021305709905904,0.5142566204524345,0.5781059449734539,-0.7839856566191856,-0.7479497991684749,3.947972456005946,0.5208642103582806,TRUE,23.378173713080145,UNDERPOWERED,0.75,TRUE
BTC,overlay_w0.25,0.25,gross,95411,0.5150434183822936,0.4154440975488826,0.7799349942123672,0.5326650305881288,0.6093137683244864,-0.8392265843709854,-0.2653078852588394,6.840091813306107,0.5450142799295943,TRUE,21.790247006501716,UNDERPOWERED,0.75,TRUE
BTC,overlay_w0.25,0.25,net,95411,0.488337698880251,0.3976598588342673,0.7799642861324514,0.5098436760561339,0.5831028600963744,-0.8392265843709852,-0.26540062119353747,6.840091813306107,0.5150600698525856,TRUE,23.784621942505265,UNDERPOWERED,0.75,TRUE
BTC,complement_w0.25,0.25,gross,95411,0.6163561170604552,0.48017430528921795,1.1593492021937115,0.4141757327133498,0.5501480820955597,-0.9148538221018365,-1.2283897726412185,9.08951798010732,0.3905185528982121,TRUE,36.04128661391637,UNDERPOWERED,0.75,TRUE
BTC,complement_w0.25,0.25,net,95411,0.5786050203487023,0.45654155854094763,1.1594850454086942,0.393745102921984,0.5229752613123645,-0.9155153788639805,-1.2402005737406754,9.08951798010732,0.3648991566511708,TRUE,39.878527636644876,UNDERPOWERED,0.75,TRUE
BTC,volsizing_w0.25,0.25,gross,95411,0.47594936641456376,0.389301420992684,0.714928706491119,0.5445318077985445,0.6173780785558426,-0.7760289912814267,-0.7134289808322135,2.9839326702329307,0.560500212052217,TRUE,20.850867405675732,UNDERPOWERED,0.75,TRUE
BTC,volsizing_w0.25,0.25,net,95411,0.46454292331450064,0.3815431960500634,0.7149309838750875,0.533678361486046,0.6048020974799871,-0.7777691696311722,-0.7135450625466209,2.9839326702329307,0.5463396745547653,TRUE,21.707576813540904,UNDERPOWERED,0.75,TRUE
BTC,overlay_w0.50,0.5,gross,95411,0.5291182622287223,0.4246912700832197,0.8020821258987048,0.5294860169179909,0.6141032372686653,-0.8392265843709854,-0.292345986799822,4.590665646520121,0.5408530764406967,TRUE,22.052686662034986,UNDERPOWERED,0.75,TRUE
BTC,overlay_w0.50,0.5,net,95411,0.5109756067816331,0.4127555394022646,0.8021034887180856,0.5145913778057826,0.5967609041938902,-0.8392265843709854,-0.29331432966221704,4.590665646520121,0.521304336091455,TRUE,23.34776733476406,UNDERPOWERED,0.75,TRUE
