asset,peak_time,trough_time,window_days,n_bars_window,max_dd_benchmark_net,frac_bars_top_tercile_R,mean_exposure_overlay_w0.00,mean_exposure_volsizing_w0.00
BTC,2017-12-17T13:00:00Z,2018-12-15T15:00:00Z,363.0833333333333,8663,-0.8392265843709854,0,1,0.7278079187348341
SOL,2021-11-06T23:00:00Z,2022-12-29T20:00:00Z,417.875,10029,-0.9680287625159468,0.09661980257253963,0.9033801974274631,0.7349685910858482
