"ym","spearman_rho","pair","date"
"2003-01",1,"A vs B",2003-01-15
"2003-02",1,"A vs B",2003-02-15
"2003-04",1,"A vs B",2003-04-15
"2003-05",1,"A vs B",2003-05-15
"2003-06",1,"A vs B",2003-06-15
"2003-07",1,"A vs B",2003-07-15
"2003-08",1,"A vs B",2003-08-15
"2003-09",1,"A vs B",2003-09-15
"2003-10",1,"A vs B",2003-10-15
"2003-11",1,"A vs B",2003-11-15
"2004-01",1,"A vs B",2004-01-15
"2004-04",1,"A vs B",2004-04-15
"2004-05",1,"A vs B",2004-05-15
"2004-07",1,"A vs B",2004-07-15
"2004-08",1,"A vs B",2004-08-15
"2004-09",1,"A vs B",2004-09-15
"2004-10",1,"A vs B",2004-10-15
"2004-11",1,"A vs B",2004-11-15
"2004-12",1,"A vs B",2004-12-15
"2005-01",1,"A vs B",2005-01-15
"2005-04",1,"A vs B",2005-04-15
"2005-05",1,"A vs B",2005-05-15
"2005-06",1,"A vs B",2005-06-15
"2005-07",1,"A vs B",2005-07-15
"2005-09",1,"A vs B",2005-09-15
"2005-10",1,"A vs B",2005-10-15
"2005-11",1,"A vs B",2005-11-15
"2005-12",1,"A vs B",2005-12-15
"2006-01",1,"A vs B",2006-01-15
"2006-04",1,"A vs B",2006-04-15
"2006-06",1,"A vs B",2006-06-15
"2006-07",1,"A vs B",2006-07-15
"2006-09",1,"A vs B",2006-09-15
"2006-11",1,"A vs B",2006-11-15
"2006-12",1,"A vs B",2006-12-15
"2007-04",1,"A vs B",2007-04-15
"2007-06",1,"A vs B",2007-06-15
"2007-07",1,"A vs B",2007-07-15
"2007-08",1,"A vs B",2007-08-15
"2007-09",1,"A vs B",2007-09-15
"2007-11",1,"A vs B",2007-11-15
"2007-12",1,"A vs B",2007-12-15
"2008-02",1,"A vs B",2008-02-15
"2008-05",1,"A vs B",2008-05-15
"2008-06",1,"A vs B",2008-06-15
"2008-07",1,"A vs B",2008-07-15
"2008-08",1,"A vs B",2008-08-15
"2008-09",1,"A vs B",2008-09-15
"2008-10",1,"A vs B",2008-10-15
"2008-11",1,"A vs B",2008-11-15
"2009-01",1,"A vs B",2009-01-15
"2009-04",1,"A vs B",2009-04-15
"2009-05",1,"A vs B",2009-05-15
"2009-07",1,"A vs B",2009-07-15
"2009-08",1,"A vs B",2009-08-15
"2009-09",1,"A vs B",2009-09-15
"2009-10",1,"A vs B",2009-10-15
"2009-11",1,"A vs B",2009-11-15
"2010-01",1,"A vs B",2010-01-15
"2010-04",1,"A vs B",2010-04-15
"2010-05",1,"A vs B",2010-05-15
"2010-07",1,"A vs B",2010-07-15
"2010-08",1,"A vs B",2010-08-15
"2010-09",1,"A vs B",2010-09-15
"2010-10",1,"A vs B",2010-10-15
"2010-11",1,"A vs B",2010-11-15
"2010-12",1,"A vs B",2010-12-15
"2011-01",1,"A vs B",2011-01-15
"2011-04",1,"A vs B",2011-04-15
"2011-06",1,"A vs B",2011-06-15
"2011-07",1,"A vs B",2011-07-15
"2011-09",1,"A vs B",2011-09-15
"2011-10",1,"A vs B",2011-10-15
"2011-11",1,"A vs B",2011-11-15
"2011-12",1,"A vs B",2011-12-15
"2012-01",1,"A vs B",2012-01-15
"2012-04",1,"A vs B",2012-04-15
"2012-06",1,"A vs B",2012-06-15
"2012-07",1,"A vs B",2012-07-15
"2012-08",1,"A vs B",2012-08-15
"2012-09",1,"A vs B",2012-09-15
"2012-11",1,"A vs B",2012-11-15
"2012-12",1,"A vs B",2012-12-15
"2013-02",1,"A vs B",2013-02-15
"2013-05",1,"A vs B",2013-05-15
"2013-06",1,"A vs B",2013-06-15
"2013-08",1,"A vs B",2013-08-15
"2013-09",1,"A vs B",2013-09-15
"2013-11",1,"A vs B",2013-11-15
"2014-01",1,"A vs B",2014-01-15
"2014-02",1,"A vs B",2014-02-15
"2014-04",1,"A vs B",2014-04-15
"2014-05",1,"A vs B",2014-05-15
"2014-06",1,"A vs B",2014-06-15
"2014-07",1,"A vs B",2014-07-15
"2014-08",1,"A vs B",2014-08-15
"2014-09",1,"A vs B",2014-09-15
"2014-10",1,"A vs B",2014-10-15
"2014-11",1,"A vs B",2014-11-15
"2015-01",1,"A vs B",2015-01-15
"2015-04",1,"A vs B",2015-04-15
"2015-05",1,"A vs B",2015-05-15
"2015-07",1,"A vs B",2015-07-15
"2015-08",1,"A vs B",2015-08-15
"2015-09",1,"A vs B",2015-09-15
"2015-10",1,"A vs B",2015-10-15
"2015-11",1,"A vs B",2015-11-15
"2016-01",1,"A vs B",2016-01-15
"2016-04",1,"A vs B",2016-04-15
"2016-05",1,"A vs B",2016-05-15
"2016-06",1,"A vs B",2016-06-15
"2016-07",1,"A vs B",2016-07-15
"2016-09",1,"A vs B",2016-09-15
"2016-10",1,"A vs B",2016-10-15
"2016-11",1,"A vs B",2016-11-15
"2016-12",1,"A vs B",2016-12-15
"2017-01",1,"A vs B",2017-01-15
"2017-04",1,"A vs B",2017-04-15
"2017-06",1,"A vs B",2017-06-15
"2017-07",1,"A vs B",2017-07-15
"2017-09",1,"A vs B",2017-09-15
"2017-11",1,"A vs B",2017-11-15
"2017-12",1,"A vs B",2017-12-15
"2018-02",1,"A vs B",2018-02-15
"2018-04",1,"A vs B",2018-04-15
"2018-05",1,"A vs B",2018-05-15
"2018-06",1,"A vs B",2018-06-15
"2018-07",1,"A vs B",2018-07-15
"2018-08",1,"A vs B",2018-08-15
"2018-09",1,"A vs B",2018-09-15
"2018-11",1,"A vs B",2018-11-15
"2018-12",1,"A vs B",2018-12-15
"2019-02",1,"A vs B",2019-02-15
"2019-04",1,"A vs B",2019-04-15
"2019-05",1,"A vs B",2019-05-15
"2019-06",1,"A vs B",2019-06-15
"2019-08",1,"A vs B",2019-08-15
"2019-09",1,"A vs B",2019-09-15
"2019-11",1,"A vs B",2019-11-15
"2020-01",1,"A vs B",2020-01-15
"2020-02",1,"A vs B",2020-02-15
"2020-04",1,"A vs B",2020-04-15
"2020-05",1,"A vs B",2020-05-15
"2020-07",1,"A vs B",2020-07-15
"2020-08",1,"A vs B",2020-08-15
"2020-09",1,"A vs B",2020-09-15
"2020-10",1,"A vs B",2020-10-15
"2020-11",1,"A vs B",2020-11-15
"2021-01",1,"A vs B",2021-01-15
"2021-04",1,"A vs B",2021-04-15
"2021-05",1,"A vs B",2021-05-15
"2021-07",1,"A vs B",2021-07-15
"2021-08",1,"A vs B",2021-08-15
"2021-09",1,"A vs B",2021-09-15
"2021-10",1,"A vs B",2021-10-15
"2021-11",1,"A vs B",2021-11-15
"2021-12",1,"A vs B",2021-12-15
"2022-01",1,"A vs B",2022-01-15
"2022-04",1,"A vs B",2022-04-15
"2022-06",1,"A vs B",2022-06-15
"2022-07",1,"A vs B",2022-07-15
"2022-09",1,"A vs B",2022-09-15
"2022-10",1,"A vs B",2022-10-15
"2022-11",1,"A vs B",2022-11-15
"2022-12",1,"A vs B",2022-12-15
"2023-01",1,"A vs B",2023-01-15
"2023-04",1,"A vs B",2023-04-15
"2023-06",1,"A vs B",2023-06-15
"2023-07",1,"A vs B",2023-07-15
"2023-09",1,"A vs B",2023-09-15
"2023-11",1,"A vs B",2023-11-15
"2023-12",1,"A vs B",2023-12-15
"2024-02",1,"A vs B",2024-02-15
"2024-05",1,"A vs B",2024-05-15
"2024-06",1,"A vs B",2024-06-15
"2024-08",1,"A vs B",2024-08-15
"2024-09",1,"A vs B",2024-09-15
"2024-11",1,"A vs B",2024-11-15
"2025-01",1,"A vs B",2025-01-15
"2025-04",1,"A vs B",2025-04-15
"2025-05",1,"A vs B",2025-05-15
"2025-06",1,"A vs B",2025-06-15
"2025-08",1,"A vs B",2025-08-15
"2025-09",1,"A vs B",2025-09-15
"2025-10",1,"A vs B",2025-10-15
"2025-11",1,"A vs B",2025-11-15
"2026-01",1,"A vs B",2026-01-15
"2026-04",1,"A vs B",2026-04-15
