"ym","spearman_rho","pair","date"
"2007-11",1,"Baseline vs A",2007-11-15
"2007-12",1,"Baseline vs A",2007-12-15
"2008-02",1,"Baseline vs A",2008-02-15
"2008-05",1,"Baseline vs A",2008-05-15
"2008-06",1,"Baseline vs A",2008-06-15
"2008-07",1,"Baseline vs A",2008-07-15
"2008-08",1,"Baseline vs A",2008-08-15
"2008-09",1,"Baseline vs A",2008-09-15
"2008-10",1,"Baseline vs A",2008-10-15
"2008-11",1,"Baseline vs A",2008-11-15
"2009-01",1,"Baseline vs A",2009-01-15
"2009-04",1,"Baseline vs A",2009-04-15
"2009-05",1,"Baseline vs A",2009-05-15
"2009-07",1,"Baseline vs A",2009-07-15
"2009-08",1,"Baseline vs A",2009-08-15
"2009-09",1,"Baseline vs A",2009-09-15
"2009-10",1,"Baseline vs A",2009-10-15
"2009-11",0.999404537806162,"Baseline vs A",2009-11-15
"2010-01",1,"Baseline vs A",2010-01-15
"2010-04",1,"Baseline vs A",2010-04-15
"2010-05",1,"Baseline vs A",2010-05-15
"2010-07",1,"Baseline vs A",2010-07-15
"2010-08",1,"Baseline vs A",2010-08-15
"2010-09",1,"Baseline vs A",2010-09-15
"2010-10",1,"Baseline vs A",2010-10-15
"2010-11",1,"Baseline vs A",2010-11-15
"2010-12",1,"Baseline vs A",2010-12-15
"2011-01",1,"Baseline vs A",2011-01-15
"2011-04",1,"Baseline vs A",2011-04-15
"2011-06",1,"Baseline vs A",2011-06-15
"2011-07",1,"Baseline vs A",2011-07-15
"2011-09",1,"Baseline vs A",2011-09-15
"2011-10",1,"Baseline vs A",2011-10-15
"2011-11",1,"Baseline vs A",2011-11-15
"2011-12",1,"Baseline vs A",2011-12-15
"2012-01",1,"Baseline vs A",2012-01-15
"2012-04",1,"Baseline vs A",2012-04-15
"2012-06",1,"Baseline vs A",2012-06-15
"2012-07",1,"Baseline vs A",2012-07-15
"2012-08",1,"Baseline vs A",2012-08-15
"2012-09",1,"Baseline vs A",2012-09-15
"2012-11",1,"Baseline vs A",2012-11-15
"2012-12",1,"Baseline vs A",2012-12-15
"2013-02",1,"Baseline vs A",2013-02-15
"2013-05",0.998805603462858,"Baseline vs A",2013-05-15
"2013-06",0.994535821409254,"Baseline vs A",2013-06-15
"2013-08",0.998441151296519,"Baseline vs A",2013-08-15
"2013-09",0.999459175270085,"Baseline vs A",2013-09-15
"2013-11",0.997932139309736,"Baseline vs A",2013-11-15
"2014-01",1,"Baseline vs A",2014-01-15
"2014-02",0.998759322752819,"Baseline vs A",2014-02-15
"2014-04",0.998759322752819,"Baseline vs A",2014-04-15
"2014-05",1,"Baseline vs A",2014-05-15
"2014-06",0.997289423218764,"Baseline vs A",2014-06-15
"2014-07",1,"Baseline vs A",2014-07-15
"2014-08",0.99848936953774,"Baseline vs A",2014-08-15
"2014-09",1,"Baseline vs A",2014-09-15
"2014-10",1,"Baseline vs A",2014-10-15
"2014-11",1,"Baseline vs A",2014-11-15
"2015-01",1,"Baseline vs A",2015-01-15
"2015-04",1,"Baseline vs A",2015-04-15
"2015-05",1,"Baseline vs A",2015-05-15
"2015-07",1,"Baseline vs A",2015-07-15
"2015-08",1,"Baseline vs A",2015-08-15
"2015-09",1,"Baseline vs A",2015-09-15
"2015-10",1,"Baseline vs A",2015-10-15
"2015-11",1,"Baseline vs A",2015-11-15
"2016-01",1,"Baseline vs A",2016-01-15
"2016-04",1,"Baseline vs A",2016-04-15
"2016-05",1,"Baseline vs A",2016-05-15
"2016-06",1,"Baseline vs A",2016-06-15
"2016-07",1,"Baseline vs A",2016-07-15
"2016-09",1,"Baseline vs A",2016-09-15
"2016-10",1,"Baseline vs A",2016-10-15
