"variant","period","months","avg_long","gross_sharpe","net_sharpe","net_cagr","max_dd","vol"
"A: filter-then-rank","Full",242,8.78099173553719,-0.0125306029882606,-1.0211418525851,-0.189934896717026,-0.990623617395017,0.201865032047289
"B: rank-then-renormalise","Full",242,8.78099173553719,-0.0125306029882606,-1.0211418525851,-0.189934896717026,-0.990623617395017,0.201865032047289
"Baseline","Full",272,8.59191176470588,-0.0633983408873954,-1.09004439372613,-0.19800159014103,-0.995896481949722,0.19650532350221
"A: filter-then-rank","Testing",26,9.65384615384615,1.21561788618444,-0.447943666390105,-0.0562148981626124,-0.191642295964602,0.140454618452271
"B: rank-then-renormalise","Testing",26,9.65384615384615,1.21561788618444,-0.447943666390105,-0.0562148981626124,-0.191642295964602,0.140454618452271
"Baseline","Testing",26,9.65384615384615,1.21561788618444,-0.447943666390105,-0.0562148981626124,-0.191642295964602,0.140454618452271
"A: filter-then-rank","Training",120,9.45,-0.631960026852384,-1.84379208899273,-0.269568683860707,-0.955131493314699,0.152824371918651
"B: rank-then-renormalise","Training",120,9.45,-0.631960026852384,-1.84379208899273,-0.269568683860707,-0.955131493314699,0.152824371918651
"Baseline","Training",120,9.45,-0.620651639531454,-1.83549969916931,-0.268111155172634,-0.954228088697352,0.152720721985235
"A: filter-then-rank","Validation",23,9.69565217391304,2.1931626224655,0.673628547301088,0.175711542461175,-0.0689271873234861,0.187825734480338
"B: rank-then-renormalise","Validation",23,9.69565217391304,2.1931626224655,0.673628547301088,0.175711542461175,-0.0689271873234861,0.187825734480338
"Baseline","Validation",23,9.69565217391304,2.1931626224655,0.673628547301088,0.175711542461175,-0.0689271873234861,0.187825734480338
