pair,interval_min,uncompressed_bytes,archive_dir,member_date
USDCAD,15,10743478,master_q4,01-24-2026
USDCAD,30,1850352,master_q4,01-24-2026
USDCAD,60,2972816,master_q4,01-24-2026
USDCAD,240,278469,master_q4,01-24-2026
USDCAD,720,270103,master_q4,01-24-2026
USDCAD,1440,136620,master_q4,01-24-2026
USDCHF,1,91634277,master_q4,01-24-2026
USDCHF,5,27814519,master_q4,01-24-2026
USDCHF,15,10693991,master_q4,01-24-2026
USDCHF,30,1848209,master_q4,01-24-2026
USDCHF,60,2948310,master_q4,01-24-2026
USDCHF,240,279110,master_q4,01-24-2026
USDCHF,720,271184,master_q4,01-24-2026
USDCHF,1440,137086,master_q4,01-24-2026
USDJPY,1,5422284,master_q4,01-24-2026
USDJPY,5,3755360,master_q4,01-24-2026
USDJPY,15,2647484,master_q4,01-24-2026
USDJPY,30,551172,master_q4,01-24-2026
USDJPY,60,1447106,master_q4,01-24-2026
USDJPY,240,210535,master_q4,01-24-2026
USDJPY,720,238852,master_q4,01-24-2026
USDJPY,1440,125023,master_q4,01-24-2026
XBTUSD,1,256666564,master_q4,01-24-2026
XBTUSD,5,58087690,master_q4,01-24-2026
XBTUSD,15,20724989,master_q4,01-24-2026
XBTUSD,30,1836905,master_q4,01-24-2026
XBTUSD,60,5640237,master_q4,01-24-2026
XBTUSD,240,272775,master_q4,01-24-2026
XBTUSD,720,540095,master_q4,01-24-2026
XBTUSD,1440,277341,master_q4,01-24-2026
XRPUSD,1,165900795,master_q4,01-24-2026
XRPUSD,5,49616193,master_q4,01-24-2026
XRPUSD,15,18118184,master_q4,01-24-2026
XRPUSD,30,1918123,master_q4,01-24-2026
XRPUSD,60,4730963,master_q4,01-24-2026
XRPUSD,240,284590,master_q4,01-24-2026
XRPUSD,720,409743,master_q4,01-24-2026
XRPUSD,1440,205574,master_q4,01-24-2026
